code,EN,FR,DE,IT,PT,RU,ES,JA,ZH
Juan.Carlos.Ferrero,Juan Carlos Ferrero (ESP),Juan Carlos Ferrero (ESP),Juan Carlos Ferrero (ESP),Juan Carlos Ferrero (ESP),Juan Carlos Ferrero (ESP),Хуан Карлос Фереро (Испания),Juan Carlos Ferrero (ESP),フアン・カルロス・フェレーロ（スペイン）,胡安·卡洛斯·费雷罗(西班牙)
Lleyton.Hewitt,Lleyton Hewitt (AUS),Lleyton Hewitt (AUS),Lleyton Hewitt (AUS),Lleyton Hewitt (AUS),Lleyton Hewitt (AUS),Ллейтон Хьюитт (США),Lleyton Hewitt (AUS),レイトン・ヒューレット（豪州）,莱顿·休伊特(澳大利亚)
Gustavo.Kuerten,Gustavo Kuerten (BRA),Gustavo Kuerten (BRA),Gustavo Kuerten (BRA),Gustavo Kuerten (BRA),Gustavo Kuerten (BRA),Густа́во Куэрте́н (Бразилия),Gustavo Kuerten (BRA),グスタボ・クエルテン（ブラジル）,古斯塔沃·库尔滕(巴西)
Marat.Safin,Marat Safin (RUS),Marat Safin (RUS),Marat Safin (RUS),Marat Safin (RUS),Marat Safin (RUS),Марат Сафин (Россия),Marat Safin (RUS),マラト・サフィン（ロシア）,马拉特·萨芬(俄罗斯)
Patrick.Rafter,Patrick Rafter (AUS),Patrick Rafter (AUS),Patrick Rafter (AUS),Patrick Rafter (AUS),Patrick Rafter (AUS),Патрик Рафтер (Австралия),Patrick Rafter (AUS),パトリック・ラフター（豪州）,帕特里克·拉夫特(澳大利亚)
Yevgeny.Kafelnikov,Yevgeny Kafelnikov (RUS),Yevgeny Kafelnikov (RUS),Yevgeny Kafelnikov (RUS),Yevgeny Kafelnikov (RUS),Yevgeny Kafelnikov (RUS),Евгений Кафельников (Россия),Yevgeny Kafelnikov (RUS),エフゲニー・カフェルニコフ（ロシア）,叶甫盖尼·卡费尔尼科夫(俄罗斯)
Carlos.Moya,Carlos Moya (ESP),Carlos Moya (ESP),Carlos Moya (ESP),Carlos Moya (ESP),Carlos Moya (ESP),Карлос Мойа (Испания),Carlos Moya (ESP),カルロス・モヤ（スペイン）,卡洛斯·莫亚(西班牙)
Marcelo.Rios,Marcelo Rios (CHI),Marcelo Rios (CHI),Marcelo Rios (CHI),Marcelo Rios (CHI),Marcelo Rios (CHI),Марсело Риос (Чили),Marcelo Rios (CHI),マルセロ・リオス（チリ）,马赛洛·里奥斯(智利)
Thomas.Muster,Thomas Muster (AUT),Thomas Muster (AUT),Thomas Muster (AUT),Thomas Muster (AUT),Thomas Muster (AUT),Томас Мустер (Австрия),Thomas Muster (AUT),トーマス・ムスター（オーストリア）,托马斯·穆斯特(奥地利)
Andre.Agassi,Andre Agassi (USA),Andre Agassi (USA),Andre Agassi (USA),Andre Agassi (USA),Andre Agassi (USA),Андре Агасси (США),Andre Agassi (USA),アンドレ・アガシ（米国）,安德烈·阿加西(美国)
Pete.Sampras,Pete Sampras (USA),Pete Sampras (USA),Pete Sampras (USA),Pete Sampras (USA),Pete Sampras (USA),Пит Сампрас (США),Pete Sampras (USA),ピート・サンプラス（米国）,皮特·森伯斯(美国)
Jim.Courier,Jim Courier (USA),Jim Courier (USA),Jim Courier (USA),Jim Courier (USA),Jim Courier (USA),Джим Курье (США),Jim Courier (USA),ジム・クーリエ（米国）,吉姆·考瑞尔(美国)
Boris.Becker,Boris Becker (GER),Boris Becker (ALL),Boris Becker (GER),Boris Becker (GER),Boris Becker (GER),Борис Беккер (Германия),Boris Becker (GER),ボリス。ベッカー（ドイツ）,鲍里斯·贝克尔(德国)
Stefan.Edberg,Stefan Edberg (SWE),Stefan Edberg (SWE),Stefan Edberg (SWE),Stefan Edberg (SWE),Stefan Edberg (SWE),Штефан Эдберг (Швеция),Stefan Edberg (SWE),ステファン・エドベリ（スウェーデン）,斯特凡·埃德伯格(瑞典)
Mats.Wilander,Mats Wilander (SWE),Mats Wilander (SWE),Mats Wilander (SWE),Mats Wilander (SWE),Mats Wilander (SWE),Матс Виландер (Швеция),Mats Wilander (SWE),マッツ・ビランデル（スウェーデン）,马茨·维兰德(瑞典)
Ivan.Lendl,Ivan Lendl (USA),Ivan Lendl (USA),Ivan Lendl (USA),Ivan Lendl (USA),Ivan Lendl (USA),Иван Лендл (США),Ivan Lendl (USA),イワン・レンドル（米国）,伊万·伦德尔(美国)
John.McEnroe,John McEnroe (USA),John McEnroe (USA),John McEnroe (USA),John McEnroe (USA),John McEnroe (USA),Джон Макинрой (США),John McEnroe (USA),ジョン・マッケンロー（米国）,约翰·麦肯罗(美国)
Bjorn.Borg,Björn Borg (SWE),Bjorn Borg (SWE),Bjorn Borg (SWE),Bjorn Borg (SWE),Bjorn Borg (SWE),Бьорн Борг (Швеция),Bjorn Borg (SWE),ビョルン・ボルグ（スウェーデン）,比约恩·博格(瑞典)
Jimmy.Connors,Jimmy Connors (USA),Jimmy Connors (USA),Jimmy Connors (USA),Jimmy Connors (USA),Jimmy Connors (USA),Джимми Коннорс (США),Jimmy Connors (USA),ジミー・コナーズ（米国）,占美·甘纳斯(美国)
John.Newcombe,John Newcombe (AUS),John Newcombe (AUS),John Newcombe (AUS),John Newcombe (AUS),John Newcombe (AUS),Джон Ньюкомб (Австралия),John Newcombe (AUS),ジョン・ニューカム（豪州）,约翰·纽康姆(澳大利亚)
Ilie.Nastase,Ilie Nastase (ROU),Ilie Nastase (ROU),Ilie Nastase (ROU),Ilie Nastase (ROU),Ilie Nastase (ROU),Илие Настасе (Румыния),Ilie Nastase (ROU),イリ・ナスターゼ（ルーマニア）,伊利耶 ·纳斯塔塞(罗马尼亚)
xaxis.offset,2300,2300,2250,2300,2300,2600,2300,3150,2450
annot.size,3.9,3.9,3.8,3.9,3.9,3.6,3.9,2.8,3
player.size,4.5,4.5,4.5,4.5,4.5,4.1,4.5,2.7,3.2
subtitle.size,15,15,13,15,14,10.5,14,13,11
title.typeface,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,PingFang SC Semibold,PingFang SC Semibold
base.typeface,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,Hiragino Sans W1,PingFang SC Light
subtitle.typeface,OpenSans-CondensedLightItalic,OpenSans-CondensedLightItalic,OpenSans-CondensedLightItalic,OpenSans-CondensedLightItalic,OpenSans-CondensedLightItalic,OpenSans-CondensedLightItalic,OpenSans-CondensedLightItalic,PingFang SC Thin,PingFang SC Thin
